#Source Plate,Source Well,Proposed Destination Plate,Proposed Destination Well
81,E08,10,F09
84,G05,10,F10
86,C12,10,F11
88,D10,10,F12
65,C09,10,G01
66,B11,10,G02
67,C02,10,G03
70,A12,10,G04
71,G02,10,G05
74,D05,10,G06
77,C07,10,G07
78,H02,10,G08
82,C12,10,G09
84,H10,10,G10
86,G05,10,G11
88,E12,10,G12
65,D10,10,H01
66,D10,10,H02
67,F07,10,H03
70,D09,10,H04
74,F03,10,H06
77,E02,10,H07
80,B12,10,H08
82,H07,10,H09
85,A12,10,H10
87,A09,10,H11
88,G04,10,H12
92,A01,11,A03
77,C07,11,A01
95,A11,11,A05
78,H12,11,B01
92,C10,11,C03
100,E01,11,E08
91,D08,11,G02
90,F04,11,A02
93,G10,11,A04
96,A08,11,A06
97,H09,11,A07
99,A07,11,A08
101,A05,11,A09
102,F07,11,A10
105,H03,11,A12
90,F06,11,B02
92,B09,11,B03
93,H04,11,B04
95,B12,11,B05
96,B10,11,B06
98,A03,11,B07
99,C02,11,B08
101,C01,11,B09
102,H01,11,B10
104,F06,11,B11
106,B09,11,B12
89,D07,11,C01
90,G12,11,C02
94,B01,11,C04
95,C12,11,C05
96,D10,11,C06
98,C07,11,C07
99,D05,11,C08
101,C05,11,C09
103,B08,11,C10
104,G02,11,C11
106,C02,11,C12
89,F08,11,D01
91,A08,11,D02
92,C05,11,D03
94,B09,11,D04
95,D11,11,D05
96,G11,11,D06
98,E03,11,D07
100,A03,11,D08
101,F09,11,D09
103,B09,11,D10
105,C10,11,D11
106,D01,11,D12
89,G03,11,E01
91,C12,11,E02
92,C06,11,E03
94,C11,11,E04
95,E04,11,E05
96,G03,11,E06
98,E05,11,E07
101,G03,11,E09
103,C01,11,E10
105,E10,11,E11
106,D05,11,E12
90,A11,11,F01
91,D03,11,F02
92,G05,11,F03
94,E09,11,F04
96,A01,11,F05
97,B07,11,F06
98,E09,11,F07
100,E04,11,F08
102,A01,11,F09
103,C11,11,F10
105,E02,11,F11
106,F12,11,F12
90,E02,11,G01
93,E06,11,G03
94,F04,11,G04
96,A12,11,G05
97,D12,11,G06
98,F07,11,G07
100,F08,11,G08
102,C03,11,G09
104,A06,11,G10
105,F03,11,G11
106,F06,11,G12
90,E09,11,H01
91,G07,11,H02
93,E08,11,H03
94,H02,11,H04
96,A04,11,H05
97,G12,11,H06
98,H05,11,H07
101,A11,11,H08
102,C07,11,H09
104,B05,11,H10
105,G06,11,H11
107,B11,11,H12
115,E04,12,G05
110,C09,12,F02
125,C11,12,G12
125,C12,12,H12
107,B06,12,A01
109,A12,12,A02
110,G08,12,A03
112,C12,12,A04
113,H05,12,A05
116,G06,12,A07
118,C02,12,A08
119,C06,12,A09
121,A04,12,A10
122,H09,12,A11
107,C07,12,B01
109,C01,12,B02
110,H09,12,B03
112,D10,12,B04
114,A05,12,B05
115,F04,12,B06
117,A01,12,B07
118,E04,12,B08
119,C09,12,B09
121,B05,12,B10
123,D12,12,B11
124,C11,12,B12
107,E02,12,C01
109,G06,12,C02
111,A04,12,C03
112,G01,12,C04
114,A06,12,C05
115,G01,12,C06
117,B10,12,C07
118,F02,12,C08
119,D05,12,C09
121,E10,12,C10
123,D03,12,C11
124,D03,12,C12
107,G08,12,D01
109,G07,12,D02
111,A05,12,D03
112,G02,12,D04
114,E06,12,D05
115,G10,12,D06
117,E02,12,D07
119,A12,12,D08
119,G02,12,D09
121,E11,12,D10
123,E01,12,D11
124,G07,12,D12
107,H01,12,E01
109,G08,12,E02
111,A06,12,E03
113,A09,12,E04
114,G07,12,E05
115,G05,12,E06
117,F07,12,E07
119,B06,12,E08
119,G03,12,E09
121,F04,12,E10
123,E03,12,E11
124,H04,12,E12
107,H08,12,F01
111,F12,12,F03
113,C02,12,F04
114,H02,12,F05
116,D08,12,F06
118,A07,12,F07
119,B08,12,F08
120,A07,12,F09
122,C02,12,F10
123,F09,12,F11
125,B07,12,F12
108,E01,12,G01
110,F10,12,G02
111,G01,12,G03
113,F11,12,G04
116,E10,12,G06
118,B12,12,G07
119,C11,12,G08
120,C03,12,G09
